#FEDEM	R7.2.1  6 jan 2017 11:53:51
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\PearCamWithFriction.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\SystemEnergy_R253.asc
#USER 	kmo
#DATE 	Wed Sep 19 08:52:44 2018
#
#DESCRIPTION	Checksum_ref	Friction_loss_ref	Input_ref	Loss_ref	Strain_ref
1.19000000e-01	6.93105343e-09	1.40017420e-12	7.29647827e-06	2.02188636e-09	5.48359556e-09
1.20000000e-01	7.10034087e-09	1.43742574e-12	7.41909643e-06	2.03548222e-09	5.63934379e-09
1.21000000e-01	7.27376360e-09	1.47541624e-12	7.54273663e-06	2.04931643e-09	5.79919814e-09
1.22000000e-01	7.45139108e-09	1.51415901e-12	7.66739885e-06	2.06339107e-09	5.96323024e-09
1.23000000e-01	7.63350809e-09	1.55366756e-12	7.79308290e-06	2.07770822e-09	6.13151228e-09
1.24000000e-01	7.82018935e-09	1.59395562e-12	7.91978876e-06	2.09226996e-09	6.30411711e-09
1.25000000e-01	8.01151036e-09	1.63503716e-12	8.04751645e-06	2.10707836e-09	6.48111814e-09
1.26000000e-01	8.20754763e-09	1.67668518e-12	8.17626597e-06	2.12213526e-09	6.66258950e-09
1.27000000e-01	8.40837665e-09	1.71915335e-12	8.30603730e-06	2.13744299e-09	6.84860587e-09
1.28000000e-01	8.61407671e-09	1.76270132e-12	8.43683045e-06	2.15300386e-09	7.03924255e-09
1.29000000e-01	8.82472523e-09	1.80710086e-12	8.56864543e-06	2.16881972e-09	7.23457546e-09
1.30000000e-01	9.04040018e-09	1.85236709e-12	8.70148222e-06	2.18489263e-09	7.43468115e-09
1.31000000e-01	9.26118181e-09	1.89824661e-12	8.83534084e-06	2.20122441e-09	7.63963680e-09
1.32000000e-01	9.48714815e-09	1.94502170e-12	8.97022128e-06	2.21781740e-09	7.84952016e-09
1.33000000e-01	9.71838200e-09	1.99298104e-12	9.10612355e-06	2.23467397e-09	8.06440969e-09
1.34000000e-01	9.95496408e-09	2.04158351e-12	9.24304763e-06	2.25179563e-09	8.28438438e-09
1.35000000e-01	1.01969738e-08	2.09112971e-12	9.38099353e-06	2.26918474e-09	8.50952388e-09
1.36000000e-01	1.04444966e-08	2.14192689e-12	9.51996126e-06	2.28684368e-09	8.73990846e-09
1.37000000e-01	1.06976144e-08	2.19370335e-12	9.65995081e-06	2.30477425e-09	8.97561904e-09
1.38000000e-01	1.09564103e-08	2.24616489e-12	9.80096218e-06	2.32297820e-09	9.21673704e-09
1.39000000e-01	1.12209678e-08	2.29963791e-12	9.94299537e-06	2.34145793e-09	9.46334463e-09
